n0,Pi0,Effect,S0,Power,Power SD,FDR,FDR SD,Accuracy,Accuracy SD,TPR,TPR SD,FPR,FPR SD,F1,F1 SD
5,1.0,0.1,0.5,0.053789473684210526,0.0,0.044859813084112146,0.0,0.5028947368421053,0.0,0.053789473684210526,0.0,0.04800000000000004,0.0,0.1018435475834579,0.0
5,1.0,0.1,1.0,0.053789473684210526,0.0,0.044859813084112146,0.0,0.5028947368421053,0.0,0.053789473684210526,0.0,0.04800000000000004,0.0,0.1018435475834579,0.0
5,1.0,0.3,0.5,0.07663157894736843,0.0,0.045871559633027525,0.0,0.5033157894736843,0.0,0.07663157894736843,0.0,0.06999999999999995,0.0,0.14186884926434767,0.0
5,1.0,0.3,1.0,0.07663157894736843,0.0,0.045871559633027525,0.0,0.5033157894736843,0.0,0.07663157894736843,0.0,0.06999999999999995,0.0,0.14186884926434767,0.0
5,1.0,0.5,0.5,0.11168421052631579,0.0,0.045863309352517985,0.0,0.5048421052631579,0.0,0.11168421052631579,0.0,0.10199999999999998,0.0,0.1999623068224651,0.0
5,1.0,0.5,1.0,0.11168421052631579,0.0,0.045863309352517985,0.0,0.5048421052631579,0.0,0.11168421052631579,0.0,0.10199999999999998,0.0,0.1999623068224651,0.0
5,0.9,0.1,0.5,0.05421052631578947,0.0,0.035580524344569285,0.0,0.5081052631578947,0.0,0.05421052631578947,0.0,0.038000000000000034,0.0,0.10265098664540562,0.0
5,0.9,0.1,1.0,0.05421052631578947,0.0,0.035580524344569285,0.0,0.5081052631578947,0.0,0.05421052631578947,0.0,0.038000000000000034,0.0,0.10265098664540562,0.0
5,0.9,0.3,0.5,0.07536842105263158,0.0,0.02585034013605442,0.0,0.5186842105263157,0.0,0.07536842105263158,0.0,0.038000000000000034,0.0,0.13991206643869075,0.0
5,0.9,0.3,1.0,0.07536842105263158,0.0,0.02585034013605442,0.0,0.5186842105263157,0.0,0.07536842105263158,0.0,0.038000000000000034,0.0,0.13991206643869075,0.0
5,0.9,0.5,0.5,0.10884210526315789,0.0,0.018043684710351376,0.0,0.5354210526315789,0.0,0.10884210526315789,0.0,0.038000000000000034,0.0,0.1959632332038283,0.0
5,0.9,0.5,1.0,0.10884210526315789,0.0,0.018043684710351376,0.0,0.5354210526315789,0.0,0.10884210526315789,0.0,0.038000000000000034,0.0,0.1959632332038283,0.0
5,0.75,0.1,0.5,0.05210526315789474,0.0,0.04807692307692308,0.0,0.5010526315789473,0.0,0.05210526315789474,0.0,0.050000000000000044,0.0,0.09880239520958084,0.0
5,0.75,0.1,1.0,0.05210526315789474,0.0,0.04807692307692308,0.0,0.5010526315789473,0.0,0.05210526315789474,0.0,0.050000000000000044,0.0,0.09880239520958084,0.0
5,0.75,0.3,0.5,0.06842105263157895,0.0,0.037037037037037035,0.0,0.5092105263157894,0.0,0.06842105263157895,0.0,0.050000000000000044,0.0,0.12776412776412777,0.0
5,0.75,0.3,1.0,0.06842105263157895,0.0,0.037037037037037035,0.0,0.5092105263157894,0.0,0.06842105263157895,0.0,0.050000000000000044,0.0,0.12776412776412777,0.0
5,0.75,0.5,0.5,0.09621052631578947,0.0,0.026624068157614485,0.0,0.5231052631578947,0.0,0.09621052631578947,0.0,0.050000000000000044,0.0,0.1751125586742025,0.0
5,0.75,0.5,1.0,0.09621052631578947,0.0,0.026624068157614485,0.0,0.5231052631578947,0.0,0.09621052631578947,0.0,0.050000000000000044,0.0,0.1751125586742025,0.0
5,0.5,0.1,0.5,0.04926315789473684,0.0,0.04684317718940937,0.0,0.5016315789473684,0.0,0.04926315789473684,0.0,0.04600000000000004,0.0,0.09368431588429586,0.0
5,0.5,0.1,1.0,0.04926315789473684,0.0,0.04684317718940937,0.0,0.5016315789473684,0.0,0.04926315789473684,0.0,0.04600000000000004,0.0,0.09368431588429586,0.0
5,0.5,0.3,0.5,0.06126315789473684,0.0,0.03801652892561983,0.0,0.5076315789473684,0.0,0.06126315789473684,0.0,0.04600000000000004,0.0,0.11519049975259772,0.0
5,0.5,0.3,1.0,0.06126315789473684,0.0,0.03801652892561983,0.0,0.5076315789473684,0.0,0.06126315789473684,0.0,0.04600000000000004,0.0,0.11519049975259772,0.0
5,0.5,0.5,0.5,0.08073684210526316,0.0,0.02911392405063291,0.0,0.5173684210526316,0.0,0.08073684210526316,0.0,0.04600000000000004,0.0,0.1490767735665695,0.0
5,0.5,0.5,1.0,0.08073684210526316,0.0,0.02911392405063291,0.0,0.5173684210526316,0.0,0.08073684210526316,0.0,0.04600000000000004,0.0,0.1490767735665695,0.0
15,1.0,0.1,0.5,0.053894736842105266,0.0,0.06569343065693431,0.0,0.49094736842105263,0.0,0.053894736842105266,0.0,0.07199999999999995,0.0,0.10191082802547771,0.0
15,1.0,0.1,1.0,0.053894736842105266,0.0,0.06569343065693431,0.0,0.49094736842105263,0.0,0.053894736842105266,0.0,0.07199999999999995,0.0,0.10191082802547771,0.0
15,1.0,0.3,0.5,0.12273684210526316,0.0,0.04660670482420278,0.0,0.5043684210526316,0.0,0.12273684210526316,0.0,0.11399999999999999,0.0,0.21747645248531194,0.0
15,1.0,0.3,1.0,0.12273684210526316,0.0,0.04660670482420278,0.0,0.5043684210526316,0.0,0.12273684210526316,0.0,0.11399999999999999,0.0,0.21747645248531194,0.0
15,1.0,0.5,0.5,0.2608421052631579,0.0,0.04838709677419355,0.0,0.5044210526315789,0.0,0.2608421052631579,0.0,0.252,0.0,0.40945142101784526,0.0
15,1.0,0.5,1.0,0.2608421052631579,0.0,0.04838709677419355,0.0,0.5044210526315789,0.0,0.2608421052631579,0.0,0.252,0.0,0.40945142101784526,0.0
15,0.9,0.1,0.5,0.05452631578947369,0.0,0.03896103896103896,0.0,0.5062631578947369,0.0,0.05452631578947369,0.0,0.04200000000000004,0.0,0.10319752963442574,0.0
15,0.9,0.1,1.0,0.05452631578947369,0.0,0.03896103896103896,0.0,0.5062631578947369,0.0,0.05452631578947369,0.0,0.04200000000000004,0.0,0.10319752963442574,0.0
15,0.9,0.3,0.5,0.11947368421052632,0.0,0.018166089965397925,0.0,0.5387368421052632,0.0,0.11947368421052632,0.0,0.04200000000000004,0.0,0.2130255255255255,0.0
15,0.9,0.3,1.0,0.11947368421052632,0.0,0.018166089965397925,0.0,0.5387368421052632,0.0,0.11947368421052632,0.0,0.04200000000000004,0.0,0.2130255255255255,0.0
15,0.9,0.5,0.5,0.2505263157894737,0.0,0.008746355685131196,0.0,0.6042631578947368,0.0,0.2505263157894737,0.0,0.04200000000000004,0.0,0.39996638937904383,0.0
15,0.9,0.5,1.0,0.2505263157894737,0.0,0.008746355685131196,0.0,0.6042631578947368,0.0,0.2505263157894737,0.0,0.04200000000000004,0.0,0.39996638937904383,0.0
15,0.75,0.1,0.5,0.05284210526315789,0.0,0.05103969754253308,0.0,0.49942105263157893,0.0,0.05284210526315789,0.0,0.05400000000000005,0.0,0.10010968192242498,0.0
15,0.75,0.1,1.0,0.05284210526315789,0.0,0.05103969754253308,0.0,0.49942105263157893,0.0,0.05284210526315789,0.0,0.05400000000000005,0.0,0.10010968192242498,0.0
15,0.75,0.3,0.5,0.10821052631578948,0.0,0.025592417061611375,0.0,0.5271052631578947,0.0,0.10821052631578948,0.0,0.05400000000000005,0.0,0.19478919943154904,0.0
15,0.75,0.3,1.0,0.10821052631578948,0.0,0.025592417061611375,0.0,0.5271052631578947,0.0,0.10821052631578948,0.0,0.05400000000000005,0.0,0.19478919943154904,0.0
15,0.75,0.5,0.5,0.21610526315789474,0.0,0.012980769230769231,0.0,0.5810526315789474,0.0,0.21610526315789474,0.0,0.05400000000000005,0.0,0.35457685664939553,0.0
15,0.75,0.5,1.0,0.21610526315789474,0.0,0.012980769230769231,0.0,0.5810526315789474,0.0,0.21610526315789474,0.0,0.05400000000000005,0.0,0.35457685664939553,0.0
15,0.5,0.1,0.5,0.05094736842105263,0.0,0.045364891518737675,0.0,0.5024736842105263,0.0,0.05094736842105263,0.0,0.04600000000000004,0.0,0.09673228739882082,0.0
15,0.5,0.1,1.0,0.05094736842105263,0.0,0.045364891518737675,0.0,0.5024736842105263,0.0,0.05094736842105263,0.0,0.04600000000000004,0.0,0.09673228739882082,0.0
15,0.5,0.3,0.5,0.0871578947368421,0.0,0.02702702702702703,0.0,0.520578947368421,0.0,0.0871578947368421,0.0,0.04600000000000004,0.0,0.15998454255627476,0.0
15,0.5,0.3,1.0,0.0871578947368421,0.0,0.02702702702702703,0.0,0.520578947368421,0.0,0.0871578947368421,0.0,0.04600000000000004,0.0,0.15998454255627476,0.0
15,0.5,0.5,0.5,0.15621052631578947,0.0,0.015262110152621102,0.0,0.5551052631578948,0.0,0.15621052631578947,0.0,0.04600000000000004,0.0,0.2696465885345689,0.0
15,0.5,0.5,1.0,0.15621052631578947,0.0,0.015262110152621102,0.0,0.5551052631578948,0.0,0.15621052631578947,0.0,0.04600000000000004,0.0,0.2696465885345689,0.0
30,1.0,0.1,0.5,0.066,0.0,0.06278026905829596,0.0,0.491,0.0,0.066,0.0,0.08399999999999996,0.0,0.12331596027141312,0.0
30,1.0,0.1,1.0,0.066,0.0,0.06278026905829596,0.0,0.491,0.0,0.066,0.0,0.08399999999999996,0.0,0.12331596027141312,0.0
30,1.0,0.3,0.5,0.20621052631578948,0.0,0.058173076923076925,0.0,0.48210526315789476,0.0,0.20621052631578948,0.0,0.242,0.0,0.3383419689119171,0.0
30,1.0,0.3,1.0,0.20621052631578948,0.0,0.058173076923076925,0.0,0.48210526315789476,0.0,0.20621052631578948,0.0,0.242,0.0,0.3383419689119171,0.0
30,1.0,0.5,0.5,0.47978947368421054,0.0,0.049426485922836286,0.0,0.5028947368421053,0.0,0.47978947368421054,0.0,0.474,0.0,0.6377054914305702,0.0
30,1.0,0.5,1.0,0.47978947368421054,0.0,0.049426485922836286,0.0,0.5028947368421053,0.0,0.47978947368421054,0.0,0.474,0.0,0.6377054914305702,0.0
30,0.9,0.1,0.5,0.06536842105263158,0.0,0.0296875,0.0,0.5136842105263157,0.0,0.06536842105263158,0.0,0.038000000000000034,0.0,0.1224852071005917,0.0
30,0.9,0.1,1.0,0.06536842105263158,0.0,0.0296875,0.0,0.5136842105263157,0.0,0.06536842105263158,0.0,0.038000000000000034,0.0,0.1224852071005917,0.0
30,0.9,0.3,0.5,0.1976842105263158,0.0,0.010015814443858724,0.0,0.5798421052631579,0.0,0.1976842105263158,0.0,0.038000000000000034,0.0,0.3295604106343775,0.0
30,0.9,0.3,1.0,0.1976842105263158,0.0,0.010015814443858724,0.0,0.5798421052631579,0.0,0.1976842105263158,0.0,0.038000000000000034,0.0,0.3295604106343775,0.0
30,0.9,0.5,0.5,0.4571578947368421,0.0,0.004355800091701055,0.0,0.7095789473684211,0.0,0.4571578947368421,0.0,0.038000000000000034,0.0,0.626605107488097,0.0
30,0.9,0.5,1.0,0.4571578947368421,0.0,0.004355800091701055,0.0,0.7095789473684211,0.0,0.4571578947368421,0.0,0.038000000000000034,0.0,0.626605107488097,0.0
30,0.75,0.1,0.5,0.06168421052631579,0.0,0.04091653027823241,0.0,0.5058421052631579,0.0,0.06168421052631579,0.0,0.050000000000000044,0.0,0.11591336168529326,0.0
30,0.75,0.1,1.0,0.06168421052631579,0.0,0.04091653027823241,0.0,0.5058421052631579,0.0,0.06168421052631579,0.0,0.050000000000000044,0.0,0.11591336168529326,0.0
30,0.75,0.3,0.5,0.17410526315789474,0.0,0.014889815366289458,0.0,0.5620526315789474,0.0,0.17410526315789474,0.0,0.050000000000000044,0.0,0.295911977815547,0.0
30,0.75,0.3,1.0,0.17410526315789474,0.0,0.014889815366289458,0.0,0.5620526315789474,0.0,0.17410526315789474,0.0,0.050000000000000044,0.0,0.295911977815547,0.0
30,0.75,0.5,0.5,0.38863157894736844,0.0,0.006725854183481302,0.0,0.6693157894736842,0.0,0.38863157894736844,0.0,0.050000000000000044,0.0,0.5586744344404933,0.0
30,0.75,0.5,1.0,0.38863157894736844,0.0,0.006725854183481302,0.0,0.6693157894736842,0.0,0.38863157894736844,0.0,0.050000000000000044,0.0,0.5586744344404933,0.0
30,0.5,0.1,0.5,0.05526315789473684,0.0,0.05575539568345324,0.0,0.49663157894736837,0.0,0.05526315789473684,0.0,0.062000000000000055,0.0,0.10441527446300716,0.0
30,0.5,0.1,1.0,0.05526315789473684,0.0,0.05575539568345324,0.0,0.49663157894736837,0.0,0.05526315789473684,0.0,0.062000000000000055,0.0,0.10441527446300716,0.0
30,0.5,0.3,0.5,0.1328421052631579,0.0,0.02397525135344161,0.0,0.5354210526315789,0.0,0.1328421052631579,0.0,0.062000000000000055,0.0,0.23385527656814598,0.0
30,0.5,0.3,1.0,0.1328421052631579,0.0,0.02397525135344161,0.0,0.5354210526315789,0.0,0.1328421052631579,0.0,0.062000000000000055,0.0,0.23385527656814598,0.0
30,0.5,0.5,0.5,0.27621052631578946,0.0,0.011676082862523541,0.0,0.6071052631578947,0.0,0.27621052631578946,0.0,0.062000000000000055,0.0,0.4317564788153024,0.0
30,0.5,0.5,1.0,0.27621052631578946,0.0,0.011676082862523541,0.0,0.6071052631578947,0.0,0.27621052631578946,0.0,0.062000000000000055,0.0,0.4317564788153024,0.0
